alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,2,5,0,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/0
0.1,2,5,0,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/0
0.1,2,5,0,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/0
0.1,2,5,1,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/1
0.1,2,5,1,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/1
0.1,2,5,1,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/1
0.1,2,5,2,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/2
0.1,2,5,2,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/2
0.1,2,5,2,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/2
0.1,2,5,3,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/3
0.1,2,5,3,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/3
0.1,2,5,3,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/3
