alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.3,4,5,0,2,300,200,constant,pam,1,1.0,5,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,400,200,constant,single,0,0.734625950111808,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,2,400,200,constant,complete,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,2,400,200,constant,average,1,1.0,5,0,0,,,mixture/0.3/4/5/0
0.3,4,5,0,2,400,200,constant,pam,1,1.0,5,0,0,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,500,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,500,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,500,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,500,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,600,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,600,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,600,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,600,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,700,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,700,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,700,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,700,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,800,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,800,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,800,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,800,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,900,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,900,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,900,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,900,200,constant,pam,1,1.0,4,1,1,1,0,mixture/0.3/4/5/0
0.3,4,5,0,2,1000,200,constant,single,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,1000,200,constant,complete,1,1.0,4,1,1,,,mixture/0.3/4/5/0
0.3,4,5,0,2,1000,200,constant,average,1,1.0,4,1,1,,,mixture/0.3/4/5/0
